Huyện A Lưới, Thành phố Huế
Xã Nga Thái, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Thạch, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Thắng, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Thủy, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Tiến, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Trường, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Tân, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Văn, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Vịnh, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Yên, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Nga Điền, Huyện Nga Sơn, Tỉnh Thanh Hóa
Xã Ngam La, Huyện Yên Minh, Tỉnh Hà Giang
Xã Nghi Công Bắc, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Công Nam, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Hưng, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Kim, Thành phố Vinh, Tỉnh Nghệ An
Xã Nghi Kiều, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Liên, Thành phố Vinh, Tỉnh Nghệ An
Xã Nghi Long, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Lâm, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Mỹ, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Phong, Thành phố Vinh, Tỉnh Nghệ An
Xã Nghi Phương, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Quang, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Sơn, Thị xã Nghi Sơn, Tỉnh Thanh Hóa
Xã Nghi Thiết, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Thuận, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Thái, Thành phố Vinh, Tỉnh Nghệ An
Xã Nghi Thạch, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Tiến, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Trung, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Văn, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Vạn, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Xuân, Thành phố Vinh, Tỉnh Nghệ An
Xã Nghi Xá, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Yên, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghi Ân, Thành phố Vinh, Tỉnh Nghệ An
Xã Nghi Đồng, Huyện Nghi Lộc, Tỉnh Nghệ An
Xã Nghinh Tường, Huyện Võ Nhai, Tỉnh Thái Nguyên
Xã Nghiêm Xuyên, Huyện Thường Tín, Thành phố Hà Nội
Xã Nghiên Loan, Huyện Pác Nặm, Tỉnh Bắc Kạn
Xã Nghĩa An, Huyện KBang, Tỉnh Gia Lai
Xã Nghĩa An, Huyện Nam Trực, Tỉnh Nam Định
Xã Nghĩa An, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa An, Huyện Ninh Giang, Tỉnh Hải Dương
Xã Nghĩa An, Thị xã Nghĩa Lộ, Tỉnh Yên Bái
Xã Nghĩa Bình, Huyện Bù Đăng, Tỉnh Bình Phước
Xã Nghĩa Bình, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Châu, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Dân, Huyện Kim Động, Tỉnh Hưng Yên
Xã Nghĩa Dõng, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi
Xã Nghĩa Dũng, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Nghĩa Dũng, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi
Xã Nghĩa Hiệp, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Hà, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi
Xã Nghĩa Hành, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Nghĩa Hòa, Huyện Chư Păh, Tỉnh Gia Lai
Xã Nghĩa Hòa, Huyện Lạng Giang, Tỉnh Bắc Giang
Xã Nghĩa Hòa, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Hùng, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Hưng, Huyện Chư Păh, Tỉnh Gia Lai
Xã Nghĩa Hưng, Huyện Lạng Giang, Tỉnh Bắc Giang
Xã Nghĩa Hưng, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Hưng, Huyện Vĩnh Tường, Tỉnh Vĩnh Phúc
Xã Nghĩa Hải, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Hồng, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Hồng, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Hội, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Khánh, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Kỳ, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Long, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Lâm, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Lâm, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Lâm, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Lạc, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Lạc, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Lộ, Huyện Cát Hải, Thành phố Hải Phòng
Xã Nghĩa Lộ, Thị xã Nghĩa Lộ, Tỉnh Yên Bái
Xã Nghĩa Lộc, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Lợi, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Lợi, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Lợi, Thị xã Nghĩa Lộ, Tỉnh Yên Bái
Xã Nghĩa Mai, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Minh, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Mỹ, Thị xã Thái Hoà, Tỉnh Nghệ An
Xã Nghĩa Ninh, Thành Phố Đồng Hới, Tỉnh Quảng Bình
Xã Nghĩa Phong, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Phú, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Phúc, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Nghĩa Phúc, Thị xã Nghĩa Lộ, Tỉnh Yên Bái
Xã Nghĩa Phương, Huyện Lục Nam, Tỉnh Bắc Giang
Xã Nghĩa Phương, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Sơn, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Sơn, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Sơn, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Sơn, Huyện Văn Chấn, Tỉnh Yên Bái
Xã Nghĩa Thuận, Huyện Quản Bạ, Tỉnh Hà Giang
Xã Nghĩa Thuận, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Thuận, Thị xã Thái Hoà, Tỉnh Nghệ An
Xã Nghĩa Thành, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu
Xã Nghĩa Thành, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Thành, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Thái, Huyện Nam Đàn, Tỉnh Nghệ An
Xã Nghĩa Thái, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Thái, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Nghĩa Thương, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Thắng, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Thắng, Huyện Đắk R'Lấp, Tỉnh Đắk Nông
Xã Nghĩa Thọ, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Tiến, Thị xã Thái Hoà, Tỉnh Nghệ An
Xã Nghĩa Trung, Huyện Bù Đăng, Tỉnh Bình Phước
Xã Nghĩa Trung, Huyện Nghĩa Hưng, Tỉnh Nam Định
Xã Nghĩa Trung, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Trung, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Trung, Thị xã Việt Yên, Tỉnh Bắc Giang
Xã Nghĩa Trụ, Huyện Văn Giang, Tỉnh Hưng Yên
Xã Nghĩa Tá, Huyện Chợ Đồn, Tỉnh Bắc Kạn
Xã Nghĩa Tâm, Huyện Văn Chấn, Tỉnh Yên Bái
Xã Nghĩa Xuân, Huyện Quỳ Hợp, Tỉnh Nghệ An
Xã Nghĩa Yên, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghĩa Điền, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Xã Nghĩa Đô, Huyện Bảo Yên, Tỉnh Lào Cai
Xã Nghĩa Đạo, Thị xã Thuận Thành, Tỉnh Bắc Ninh
Xã Nghĩa Đồng, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Nghĩa Đức, Huyện Nghĩa Đàn, Tỉnh Nghệ An
Xã Nghị Đức, Huyện Tánh Linh, Tỉnh Bình Thuận
Xã Ngok Réo, Huyện Đắk Hà, Tỉnh Kon Tum
Xã Ngok Tem, Huyện Kon Plông, Tỉnh Kon Tum
Xã Ngok Wang, Huyện Đắk Hà, Tỉnh Kon Tum
Xã Nguyên Giáp, Huyện Tứ Kỳ, Tỉnh Hải Dương
Xã Nguyên Hòa, Huyện Phù Cừ, Tỉnh Hưng Yên
Xã Nguyên Khê, Huyện Đông Anh, Thành phố Hà Nội
Xã Nguyên Lý, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nguyên Phúc, Huyện Bạch Thông, Tỉnh Bắc Kạn
Xã Nguyên Xá, Huyện Vũ Thư, Tỉnh Thái Bình
Xã Nguyên Xá, Huyện Đông Hưng, Tỉnh Thái Bình
Xã Nguyễn Huân, Huyện Đầm Dơi, Tỉnh Cà Mau
Xã Nguyễn Huệ, Huyện Hoà An, Tỉnh Cao Bằng
Xã Nguyễn Huệ, Huyện Khoái Châu, Tỉnh Hưng Yên
Xã Nguyễn Huệ, Thành phố Đông Triều, Tỉnh Quảng Ninh
Xã Nguyễn Phích, Huyện U Minh, Tỉnh Cà Mau
Xã Nguyễn Trãi, Huyện Thường Tín, Thành phố Hà Nội
Xã Nguyễn Trãi, Huyện Ân Thi, Tỉnh Hưng Yên
Xã Nguyễn Việt Khái, Huyện Phú Tân, Tỉnh Cà Mau
Xã Nguyễn Văn Linh, Huyện Yên Mỹ, Tỉnh Hưng Yên
Xã Nguyễn Văn Thảnh, Huyện Bình Tân, Tỉnh Vĩnh Long
Xã Nguyễn Úy, Thị xã Kim Bảng, Tỉnh Hà Nam
Xã Nguyệt Hóa, Huyện Châu Thành, Tỉnh Trà Vinh
Xã Nguyệt Đức, Huyện Yên Lạc, Tỉnh Vĩnh Phúc
Xã Nguyệt Đức, Thị xã Thuận Thành, Tỉnh Bắc Ninh
Xã Nguyệt Ấn, Huyện Ngọc Lặc, Tỉnh Thanh Hóa
Xã Ngàm Đăng Vài, Huyện Hoàng Su Phì, Tỉnh Hà Giang
Xã Ngân Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình
Xã Ngãi Hùng, Huyện Tiểu Cần, Tỉnh Trà Vinh
Xã Ngãi Tứ, Huyện Tam Bình, Tỉnh Vĩnh Long
Xã Ngãi Xuyên, Huyện Trà Cú, Tỉnh Trà Vinh
Xã Ngãi Đăng, Huyện Mỏ Cày Nam, Tỉnh Bến Tre
Xã Ngòi A, Huyện Văn Yên, Tỉnh Yên Bái
Xã Ngô Quyền, Huyện Thanh Miện, Tỉnh Hải Dương
Xã Ngũ Chỉ Sơn, Thị xã Sa Pa, Tỉnh Lào Cai
Xã Ngũ Hiệp, Huyện Cai Lậy, Tỉnh Tiền Giang
Xã Ngũ Hiệp, Huyện Thanh Trì, Thành phố Hà Nội
Xã Ngũ Hùng, Huyện Thanh Miện, Tỉnh Hải Dương
Xã Ngũ Kiên, Huyện Vĩnh Tường, Tỉnh Vĩnh Phúc
Xã Ngũ Lão, Huyện Hoà An, Tỉnh Cao Bằng
Xã Ngũ Lạc, Huyện Duyên Hải, Tỉnh Trà Vinh
Xã Ngũ Phúc, Huyện Kim Thành, Tỉnh Hải Dương
Xã Ngũ Phúc, Huyện Kiến Thuỵ, Thành phố Hải Phòng
Xã Ngũ Phụng, Huyện Phú Quí, Tỉnh Bình Thuận
Xã Ngũ Thái, Thị xã Thuận Thành, Tỉnh Bắc Ninh
Xã Ngư Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình
Xã Ngư Lộc, Huyện Hậu Lộc, Tỉnh Thanh Hóa
Xã Ngư Thủy Bắc, Huyện Lệ Thủy, Tỉnh Quảng Bình
Xã Ngư Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình
Xã Ngọc Biên, Huyện Trà Cú, Tỉnh Trà Vinh
Xã Ngọc Bích, Huyện Diễn Châu, Tỉnh Nghệ An
Xã Ngọc Chiến, Huyện Mường La, Tỉnh Sơn La
Xã Ngọc Chánh, Huyện Đầm Dơi, Tỉnh Cà Mau
Xã Ngọc Châu, Huyện Tân Yên, Tỉnh Bắc Giang
Xã Ngọc Chúc, Huyện Giồng Riềng, Tỉnh Kiên Giang
Xã Ngọc Chấn, Huyện Yên Bình, Tỉnh Yên Bái
Xã Ngọc Côn, Huyện Trùng Khánh, Tỉnh Cao Bằng
Xã Ngọc Hoà, Huyện Giồng Riềng, Tỉnh Kiên Giang
Xã Ngọc Hòa, Huyện Chương Mỹ, Thành phố Hà Nội
Xã Ngọc Hồi, Huyện Thanh Trì, Thành phố Hà Nội
Xã Ngọc Hội, Huyện Chiêm Hóa, Tỉnh Tuyên Quang
Xã Ngọc Khê, Huyện Trùng Khánh, Tỉnh Cao Bằng
Xã Ngọc Linh, Huyện Vị Xuyên, Tỉnh Hà Giang
Xã Ngọc Linh, Huyện Đắk Glei, Tỉnh Kon Tum
Xã Ngọc Liên, Huyện Cẩm Giàng, Tỉnh Hải Dương
Xã Ngọc Liên, Huyện Ngọc Lặc, Tỉnh Thanh Hóa
Xã Ngọc Liệp, Huyện Quốc Oai, Thành phố Hà Nội
Xã Ngọc Long, Huyện Yên Minh, Tỉnh Hà Giang
Xã Ngọc Long, Huyện Yên Mỹ, Tỉnh Hưng Yên
Xã Ngọc Lâm, Huyện Thanh Chương, Tỉnh Nghệ An
Xã Ngọc Lâm, Thị xã Mỹ Hào, Tỉnh Hưng Yên
Xã Ngọc Lâu, Huyện Lạc Sơn, Tỉnh Hoà Bình
Xã Ngọc Lây, Huyện Tu Mơ Rông, Tỉnh Kon Tum
Xã Ngọc Lý, Huyện Tân Yên, Tỉnh Bắc Giang
Xã Ngọc Lĩnh, Thị xã Nghi Sơn, Tỉnh Thanh Hóa
Xã Ngọc Lũ, Huyện Bình Lục, Tỉnh Hà Nam
Xã Ngọc Lương, Huyện Yên Thủy, Tỉnh Hoà Bình
Xã Ngọc Lập, Huyện Yên Lập, Tỉnh Phú Thọ
Xã Ngọc Minh, Huyện Vị Xuyên, Tỉnh Hà Giang
Xã Ngọc Mỹ, Huyện Lập Thạch, Tỉnh Vĩnh Phúc
Xã Ngọc Mỹ, Huyện Quốc Oai, Thành phố Hà Nội
Xã Ngọc Mỹ, Huyện Tân Lạc, Tỉnh Hoà Bình
Xã Ngọc Phái, Huyện Chợ Đồn, Tỉnh Bắc Kạn
Xã Ngọc Phụng, Huyện Thường Xuân, Tỉnh Thanh Hóa
Xã Ngọc Quan, Huyện Đoan Hùng, Tỉnh Phú Thọ
Xã Ngọc Sơn, Huyện Hiệp Hòa, Tỉnh Bắc Giang
Xã Ngọc Sơn, Huyện Lạc Sơn, Tỉnh Hoà Bình
Xã Ngọc Sơn, Huyện Ngọc Lặc, Tỉnh Thanh Hóa
Xã Ngọc Sơn, Huyện Quỳnh Lưu, Tỉnh Nghệ An
Xã Ngọc Sơn, Huyện Thanh Chương, Tỉnh Nghệ An
Xã Ngọc Sơn, Huyện Thạch Hà, Tỉnh Hà Tĩnh
Xã Ngọc Sơn, Thành phố Hải Dương, Tỉnh Hải Dương
Xã Ngọc Thanh, Huyện Kim Động, Tỉnh Hưng Yên
Xã Ngọc Thanh, Thành phố Phúc Yên, Tỉnh Vĩnh Phúc
Xã Ngọc Thiện, Huyện Tân Yên, Tỉnh Bắc Giang
Xã Ngọc Thuận, Huyện Giồng Riềng, Tỉnh Kiên Giang
Xã Ngọc Thành, Huyện Giồng Riềng, Tỉnh Kiên Giang
Xã Ngọc Trung, Huyện Ngọc Lặc, Tỉnh Thanh Hóa
Xã Ngọc Trạo, Huyện Thạch Thành, Tỉnh Thanh Hóa
Xã Ngọc Tảo, Huyện Phúc Thọ, Thành phố Hà Nội
Xã Ngọc Tố, Huyện Mỹ Xuyên, Tỉnh Sóc Trăng
Xã Ngọc Vân, Huyện Tân Yên, Tỉnh Bắc Giang
Xã Ngọc Vừng, Huyện Vân Đồn, Tỉnh Quảng Ninh
Xã Ngọc Xá, Thị xã Quế Võ, Tỉnh Bắc Ninh
Xã Ngọc Yêu, Huyện Tu Mơ Rông, Tỉnh Kon Tum
Xã Ngọc Đào, Huyện Hà Quảng, Tỉnh Cao Bằng
Xã Ngọc Đông, Huyện Mỹ Xuyên, Tỉnh Sóc Trăng
Xã Ngọc Đường, Thành phố Hà Giang, Tỉnh Hà Giang
Xã Ngọc Định, Huyện Định Quán, Tỉnh Đồng Nai
Xã Ngọc Đồng, Huyện Yên Lập, Tỉnh Phú Thọ
Xã Ngọc Động, Huyện Hà Quảng, Tỉnh Cao Bằng
Xã Ngọc Động, Huyện Quảng Hòa, Tỉnh Cao Bằng
Xã Ngọk Bay, Thành phố Kon Tum, Tỉnh Kon Tum
Xã Ngọk Tụ, Huyện Đắk Tô, Tỉnh Kon Tum
Xã Ngối Cáy, Huyện Mường Ảng, Tỉnh Điện Biên
Xã Ngổ Luông, Huyện Tân Lạc, Tỉnh Hoà Bình
Xã Nha Bích, Thị xã Chơn Thành, Tỉnh Bình Phước
Xã Nham Sơn, Thành phố Bắc Giang, Tỉnh Bắc Giang
Xã Nhi Sơn, Huyện Mường Lát, Tỉnh Thanh Hóa
Xã Nhuận Phú Tân, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre
Xã Nhuận Trạch, Huyện Lương Sơn, Tỉnh Hoà Bình
Xã Nhuận Đức, Huyện Củ Chi, Thành phố Hồ Chí Minh
Xã Nhân Bình, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nhân Chính, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nhân Cơ, Huyện Đắk R'Lấp, Tỉnh Đắk Nông
Xã Nhân Huệ, Thành phố Chí Linh, Tỉnh Hải Dương
Xã Nhân Khang, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nhân Lý, Huyện Chi Lăng, Tỉnh Lạng Sơn
Xã Nhân Lý, Huyện Chiêm Hóa, Tỉnh Tuyên Quang
Xã Nhân Mục, Huyện Hàm Yên, Tỉnh Tuyên Quang
Xã Nhân Mỹ, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nhân Mỹ, Huyện Tân Lạc, Tỉnh Hoà Bình
Xã Nhân Nghĩa, Huyện Cẩm Mỹ, Tỉnh Đồng Nai
Xã Nhân Nghĩa, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nhân Nghĩa, Huyện Lạc Sơn, Tỉnh Hoà Bình
Xã Nhân Quyền, Huyện Bình Giang, Tỉnh Hải Dương
Xã Nhân Sơn, Huyện Đô Lương, Tỉnh Nghệ An
Xã Nhân Thịnh, Huyện Lý Nhân, Tỉnh Hà Nam
Xã Nhân Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình
Xã Nhân Đạo, Huyện Sông Lô, Tỉnh Vĩnh Phúc
Xã Nhân Đạo, Huyện Đắk R'Lấp, Tỉnh Đắk Nông
Xã Nhã Lộng, Huyện Phú Bình, Tỉnh Thái Nguyên
Xã Nhôn Mai, Huyện Tương Dương, Tỉnh Nghệ An
Xã Nhơn An, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Bình, Huyện Trà Ôn, Tỉnh Vĩnh Long
Xã Nhơn Châu, Thành phố Quy Nhơn, Tỉnh Bình Định
Xã Nhơn Hoà, Huyện Tân Thạnh, Tỉnh Long An
Xã Nhơn Hòa Lập, Huyện Tân Thạnh, Tỉnh Long An
Xã Nhơn Hạnh, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Hải, Huyện Ninh Hải, Tỉnh Ninh Thuận
Xã Nhơn Hải, Thành phố Quy Nhơn, Tỉnh Bình Định
Xã Nhơn Hậu, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Hội, Huyện An Phú, Tỉnh An Giang
Xã Nhơn Hội, Thành phố Quy Nhơn, Tỉnh Bình Định
Xã Nhơn Khánh, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Lý, Thành phố Quy Nhơn, Tỉnh Bình Định
Xã Nhơn Lộc, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Mỹ, Huyện Chợ Mới, Tỉnh An Giang
Xã Nhơn Mỹ, Huyện Kế Sách, Tỉnh Sóc Trăng
Xã Nhơn Mỹ, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Nghĩa A, Huyện Châu Thành A, Tỉnh Hậu Giang
Xã Nhơn Nghĩa, Huyện Phong Điền, Thành phố Cần Thơ
Xã Nhơn Ninh, Huyện Tân Thạnh, Tỉnh Long An
Xã Nhơn Phong, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Phú, Huyện Mang Thít, Tỉnh Vĩnh Long
Xã Nhơn Phúc, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Sơn, Huyện Ninh Sơn, Tỉnh Ninh Thuận
Xã Nhơn Thạnh Trung, Thành phố Tân An, Tỉnh Long An
Xã Nhơn Thạnh, Thành phố Bến Tre, Tỉnh Bến Tre
Xã Nhơn Thọ, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Tân, Thị xã An Nhơn, Tỉnh Bình Định
Xã Nhơn Ái, Huyện Phong Điền, Thành phố Cần Thơ
Xã Nhơn Đức, Huyện Nhà Bè, Thành phố Hồ Chí Minh
Xã Như Cố, Huyện Chợ Mới, Tỉnh Bắc Kạn
Xã Như Hòa, Huyện Kim Sơn, Tỉnh Ninh Bình
Xã Nhạc Kỳ, Huyện Văn Lãng, Tỉnh Lạng Sơn
Xã Nhạn Môn, Huyện Pác Nặm, Tỉnh Bắc Kạn
Xã Nhất Hòa, Huyện Bắc Sơn, Tỉnh Lạng Sơn
Xã Nhất Tiến, Huyện Bắc Sơn, Tỉnh Lạng Sơn
Xã Nhật Quang, Huyện Gia Lộc, Tỉnh Hải Dương
Xã Nhật Quang, Huyện Phù Cừ, Tỉnh Hưng Yên
Xã Nhật Tiến, Huyện Cẩm Khê, Tỉnh Phú Thọ
Xã Nhật Tiến, Huyện Hữu Lũng, Tỉnh Lạng Sơn
Xã Nhật Tân, Huyện Tiên Lữ, Tỉnh Hưng Yên
Xã Nhị Bình, Huyện Châu Thành, Tỉnh Tiền Giang
Xã Nhị Bình, Huyện Hóc Môn, Thành phố Hồ Chí Minh
Xã Nhị Hà, Huyện Thuận Nam, Tỉnh Ninh Thuận
Xã Nhị Khê, Huyện Thường Tín, Thành phố Hà Nội
Xã Nhị Long Phú, Huyện Càng Long, Tỉnh Trà Vinh
Xã Nhị Long, Huyện Càng Long, Tỉnh Trà Vinh
Xã Nhị Mỹ, Huyện Cao Lãnh, Tỉnh Đồng Tháp
Xã Nhị Quý, Thị xã Cai Lậy, Tỉnh Tiền Giang
Xã Nhị Thành, Huyện Thủ Thừa, Tỉnh Long An
Xã Nhị Trường, Huyện Cầu Ngang, Tỉnh Trà Vinh
Xã Nhữ Hán, Huyện Yên Sơn, Tỉnh Tuyên Quang
Xã Nhữ Khê, Huyện Yên Sơn, Tỉnh Tuyên Quang
Xã Nhựt Chánh, Huyện Bến Lức, Tỉnh Long An
Xã Nhựt Ninh, Huyện Tân Trụ, Tỉnh Long An
Xã Ninh An, Thành phố Hoa Lư, Tỉnh Ninh Bình
Xã Ninh An, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Bình, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Dân, Huyện Thanh Ba, Tỉnh Phú Thọ
Xã Ninh Gia, Huyện Đức Trọng, Tỉnh Lâm Đồng
Xã Ninh Hiệp, Huyện Gia Lâm, Thành phố Hà Nội
Xã Ninh Hòa, Huyện Hồng Dân, Tỉnh Bạc Liêu
Xã Ninh Hòa, Thành phố Hoa Lư, Tỉnh Ninh Bình
Xã Ninh Hưng, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Hải, Thành phố Hoa Lư, Tỉnh Ninh Bình
Xã Ninh Khang, Huyện Vĩnh Lộc, Tỉnh Thanh Hóa
Xã Ninh Khang, Thành phố Hoa Lư, Tỉnh Ninh Bình
Xã Ninh Lai, Huyện Sơn Dương, Tỉnh Tuyên Quang
Xã Ninh Loan, Huyện Đức Trọng, Tỉnh Lâm Đồng
Xã Ninh Lộc, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Nhất, Thành phố Hoa Lư, Tỉnh Ninh Bình
Xã Ninh Phú, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Phước, Huyện Quế Sơn, Tỉnh Quảng Nam
Xã Ninh Phước, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Phụng, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Quang, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Quới A, Huyện Hồng Dân, Tỉnh Bạc Liêu
Xã Ninh Quới, Huyện Hồng Dân, Tỉnh Bạc Liêu
Xã Ninh Sim, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Sơn, Thành phố Thuỷ Nguyên, Thành phố Hải Phòng
Xã Ninh Sơn, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Sở, Huyện Thường Tín, Thành phố Hà Nội
Xã Ninh Thân, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Thượng, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Thạnh Lợi A, Huyện Hồng Dân, Tỉnh Bạc Liêu
Xã Ninh Thạnh Lợi, Huyện Hồng Dân, Tỉnh Bạc Liêu
Xã Ninh Thọ, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Xã Ninh Thới, Huyện Cầu Kè, Tỉnh Trà Vinh
Xã Ninh Tiến, Thành phố Hoa Lư, Tỉnh Ninh Bình
Xã Ninh Trung, Thị xã Ninh Hòa, Tỉnh Khánh Hòa
